index,name,group,tvgId,streamUrl,status,savedPath,sourceUrl,imageFormat,width,height,bytes,candidatesTried,reason
1,Moldova 1 HD MD,Moldova,None,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/19451/index.m3u8,missing,,,,,,,2,https://iptvx.one/picons/none.png -> http_520
2,Moldova 2 HD MD,Moldova,None,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/19439/index.m3u8,missing,,,,,,,2,https://iptvx.one/picons/none.png -> http_520
3,Jurnal TV HD MD,Moldova,None,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/19443/index.m3u8,missing,,,,,,,2,https://iptvx.one/picons/none.png -> http_520
4,TV8 HD MD,Moldova,None,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/19449/index.m3u8,missing,,,,,,,2,https://iptvx.one/picons/none.png -> http_520
5,Pro TV Chisinau HD MD,Moldova,None,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/19452/index.m3u8,missing,,,,,,,2,https://iptvx.one/picons/none.png -> http_520
6,Realitatea Live HD MD,Moldova,None,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/31894/index.m3u8,missing,,,,,,,2,https://iptvx.one/picons/none.png -> http_520
7,Global 24 HD MD,Moldova,None,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/19450/index.m3u8,missing,,,,,,,2,https://iptvx.one/picons/none.png -> http_520
8,N4 MD,Moldova,2789,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/2460/index.m3u8,saved,output/channel-logos-smoke/logos/0008-n4-md.png,http://epg.one/img/2789.png,png,165,165,20280,3,
