index,name,group,tvgId,streamUrl,status,savedPath,sourceUrl,imageFormat,width,height,bytes,candidatesTried,reason
25,Disney Channel MD,Moldova,,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/2468/index.m3u8,saved,output/channel-logos-smoke-50/logos/0025-disney-channel-md.png,http://iptvx.one/picons/disney-c.png,png,200,200,16125,8,
26,Gurinel TV MD,Moldova,,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/2469/index.m3u8,saved,output/channel-logos-smoke-50/logos/0026-gurinel-tv-md.png,http://iptvx.one/picons/noroc-tv-md.png,png,200,200,17674,8,
27,Zona M MD,Moldova,2855,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/2470/index.m3u8,saved,output/channel-logos-smoke-50/logos/0027-zona-m-md.png,http://epg.one/img/2855.png,png,165,165,26884,3,
28,Tezaur HD MD,Moldova,,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/19440/index.m3u8,saved,output/channel-logos-smoke-50/logos/0028-tezaur-hd-md.png,http://epg.one/img/7821.png,png,165,165,9771,1,
29,One TV HD MD,Moldova,,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/19446/index.m3u8,saved,output/channel-logos-smoke-50/logos/0029-one-tv-hd-md.png,http://iptvx.one/picons/noroc-tv-md.png,png,200,200,17674,8,
30,Agro TV HD MD,Moldova,,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/19448/index.m3u8,saved,output/channel-logos-smoke-50/logos/0030-agro-tv-hd-md.png,http://iptvx.one/picons/noroc-tv-md.png,png,200,200,17674,8,
31,Premiera TV MD,Moldova,11491,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/31895/index.m3u8,saved,output/channel-logos-smoke-50/logos/0031-premiera-tv-md.png,http://iptvx.one/picons/noroc-tv-md.png,png,200,200,17674,8,
32,Popas TV MD,Moldova,11493,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/31899/index.m3u8,saved,output/channel-logos-smoke-50/logos/0032-popas-tv-md.png,http://iptvx.one/picons/noroc-tv-md.png,png,200,200,17674,8,
33,Sor TV MD,Moldova,11495,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/31901/index.m3u8,saved,output/channel-logos-smoke-50/logos/0033-sor-tv-md.png,http://iptvx.one/picons/noroc-tv-md.png,png,200,200,17674,8,
34,Star TV HD MD,Moldova,,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/31902/index.m3u8,saved,output/channel-logos-smoke-50/logos/0034-star-tv-hd-md.png,http://iptvx.one/picons/star-tv-hd-tr.png,png,200,200,35862,8,
35,Setanta Moldova FHD,Moldova,,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/20074/index.m3u8,saved,output/channel-logos-smoke-50/logos/0035-setanta-moldova-fhd.png,http://epg.one/img/7244.png,png,165,165,10175,1,
36,We Sport TV HD MD,Moldova,,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/31904/index.m3u8,saved,output/channel-logos-smoke-50/logos/0036-we-sport-tv-hd-md.png,http://iptvx.one/picons/sport3-slo.png,png,200,200,8134,8,
37,Pro TV RO,Romania,3739,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/6997/index.m3u8,saved,output/channel-logos-smoke-50/logos/0037-pro-tv-ro.png,http://iptvx.one/picons/pro-tv-md.png,png,200,200,11624,8,
38,Pro TV International RO,Romania,,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/7055/index.m3u8,saved,output/channel-logos-smoke-50/logos/0038-pro-tv-international-ro.png,http://iptvx.one/picons/pro-tv-md.png,png,200,200,11624,5,
39,Antena 1 HD RO,Romania,3744,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/7002/index.m3u8,saved,output/channel-logos-smoke-50/logos/0039-antena-1-hd-ro.png,http://iptvx.one/picons/antena1hd-ro.png,png,200,200,16329,8,
40,Kanal D HD RO,Romania,3726,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/6984/index.m3u8,saved,output/channel-logos-smoke-50/logos/0040-kanal-d-hd-ro.png,http://iptvx.one/picons/kanal-d-hd.png,png,200,200,31032,6,
41,Romania TV RO,Romania,3701,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/6959/index.m3u8,saved,output/channel-logos-smoke-50/logos/0041-romania-tv-ro.png,http://iptvx.one/picons/kiss-tv-ro.png,png,200,200,17082,8,
42,Antena 3 CNN HD RO,Romania,,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/7003/index.m3u8,saved,output/channel-logos-smoke-50/logos/0042-antena-3-cnn-hd-ro.png,http://epg.one/img/3745.png,png,165,165,9546,2,
43,Realitatea Plus RO,Romania,3700,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/6958/index.m3u8,saved,output/channel-logos-smoke-50/logos/0043-realitatea-plus-ro.png,http://epg.one/img/3689.png,png,165,165,26047,4,
44,Happy Channel HD RO,Romania,3777,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/7035/index.m3u8,saved,output/channel-logos-smoke-50/logos/0044-happy-channel-hd-ro.png,http://iptvx.one/picons/music-channel-ro.png,png,200,200,10745,8,
45,Antena Stars HD RO,Romania,3746,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/7004/index.m3u8,saved,output/channel-logos-smoke-50/logos/0045-antena-stars-hd-ro.png,http://epg.one/img/3746.png,png,165,165,9233,3,
46,DIGI Sport 1 HD RO,Romania,2907,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/2523/index.m3u8,saved,output/channel-logos-smoke-50/logos/0046-digi-sport-1-hd-ro.png,http://iptvx.one/picons/digisport1.png,png,200,200,10688,8,
47,DIGI 24 HD RO,Romania,,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/7009/index.m3u8,saved,output/channel-logos-smoke-50/logos/0047-digi-24-hd-ro.png,http://epg.one/img/3751.png,png,165,165,6703,1,
48,Film Cafe RO,Romania,3695,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/6953/index.m3u8,saved,output/channel-logos-smoke-50/logos/0048-film-cafe-ro.png,http://epg.one/img/3695.png,png,165,165,23208,3,
49,Pro Cinema RO,Romania,3693,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/6951/index.m3u8,saved,output/channel-logos-smoke-50/logos/0049-pro-cinema-ro.png,http://epg.one/img/3693.png,png,165,165,23350,3,
50,AMC RO,Romania,3691,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/6949/index.m3u8,saved,output/channel-logos-smoke-50/logos/0050-amc-ro.png,http://iptvx.one/picons/amc.png,png,200,200,20439,6,
