index,name,group,tvgId,streamUrl,status,savedPath,sourceUrl,imageFormat,width,height,bytes,candidatesTried,reason
938,MM Синематограф HD,Filme,483224,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/13061/index.m3u8,saved,output/channel-logos-moldovenesti-full-v2/logos/0938-mm-синематограф-hd.png,http://epg.pw/media/images/epg/2025/12/02/20251202024838276797_77.png,png,200,200,19368,5,
939,MM Фантастика HD,Filme,481409,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/13062/index.m3u8,saved,output/channel-logos-moldovenesti-full-v2/logos/0939-mm-фантастика-hd.png,http://epg.pw/media/images/epg/2025/11/24/20251124021145511333_84.png,png,200,200,17388,5,
940,MM Фобия HD,Filme,387756,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/13063/index.m3u8,saved,output/channel-logos-moldovenesti-full-v2/logos/0940-mm-фобия-hd.png,http://epg.pw/media/images/epg/2024/09/11/20240911021612508410_62.png,png,200,200,14808,5,
941,MM USSR Детектив HD,Filme,483220,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/13096/index.m3u8,saved,output/channel-logos-moldovenesti-full-v2/logos/0941-mm-ussr-детектив-hd.png,http://iptvx.one/picons/minimax-mult.png,png,200,200,16646,8,
942,MM Семейный 1 HD,Filme,483188,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/13097/index.m3u8,saved,output/channel-logos-moldovenesti-full-v2/logos/0942-mm-семеиныи-1-hd.png,http://iptvx.one/picons/minimax-family2.png,png,200,200,16654,7,
943,MM Семейный 2 HD,Filme,483189,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/13098/index.m3u8,saved,output/channel-logos-moldovenesti-full-v2/logos/0943-mm-семеиныи-2-hd.png,http://epg.pw/media/images/epg/2025/12/02/20251202021754409016_51.png,png,200,200,16654,7,
944,MM Ужасы HD,Filme,483199,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/13099/index.m3u8,saved,output/channel-logos-moldovenesti-full-v2/logos/0944-mm-ужасы-hd.png,http://iptvx.one/picons/minimax-ujasi-classic.png,png,200,200,15814,7,
945,MM Ужасы Classic HD,Filme,481403,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/14128/index.m3u8,saved,output/channel-logos-moldovenesti-full-v2/logos/0945-mm-ужасы-classic-hd.png,http://epg.pw/media/images/epg/2025/11/24/20251124020739212925_17.png,png,200,200,15814,7,
946,MM Драма HD,Filme,483213,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/16086/index.m3u8,saved,output/channel-logos-moldovenesti-full-v2/logos/0946-mm-драма-hd.png,http://epg.pw/media/images/epg/2025/12/02/20251202024110619761_93.png,png,200,200,14570,5,
947,VF Сваты,Filme,5193,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/13080/index.m3u8,saved,output/channel-logos-moldovenesti-full-v2/logos/0947-vf-сваты.png,http://iptvx.one/picons/vf-swty.png,png,200,200,20777,4,
948,VF Солдаты,Filme,5194,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/13081/index.m3u8,saved,output/channel-logos-moldovenesti-full-v2/logos/0948-vf-солдаты.png,http://iptvx.one/picons/vf-soldats.png,png,200,200,19883,4,
949,VF Тайны следствия,Filme,5195,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/13082/index.m3u8,saved,output/channel-logos-moldovenesti-full-v2/logos/0949-vf-таины-следствия.png,http://iptvx.one/picons/vf-taynsled.png,png,200,200,26823,4,
950,VF Воронины,Filme,5196,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/13083/index.m3u8,saved,output/channel-logos-moldovenesti-full-v2/logos/0950-vf-воронины.png,http://iptvx.one/picons/vf-voronins.png,png,200,200,22402,4,
951,VF Универ,Filme,5197,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/13084/index.m3u8,saved,output/channel-logos-moldovenesti-full-v2/logos/0951-vf-универ.png,http://iptvx.one/picons/vf-univer.png,png,200,200,27110,6,
952,VF След,Filme,5199,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/13086/index.m3u8,saved,output/channel-logos-moldovenesti-full-v2/logos/0952-vf-след.png,http://iptvx.one/picons/vf-sled.png,png,200,200,29874,4,
953,VF Мыльные оперы,Filme,5201,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/13088/index.m3u8,saved,output/channel-logos-moldovenesti-full-v2/logos/0953-vf-мыльные-оперы.png,http://iptvx.one/picons/vf-mylnoper.png,png,200,200,22102,4,
954,VF Индия,Filme,5203,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/13090/index.m3u8,saved,output/channel-logos-moldovenesti-full-v2/logos/0954-vf-индия.png,http://iptvx.one/picons/vf-indiya.png,png,200,200,28910,4,
